index, subj,d,s,theta,eta
0,0,0.0132,0.05,0.5,0
1,1,0.0146,0.05,0.5,0
2,2,0.0072,0.05,0.5,0
3,3,0.0153,0.05,0.5,0
4,4,0.0107,0.05,0.5,0
5,5,0.0104,0.05,0.5,0
6,6,0.005,0.05,0.5,0
7,7,0.0076,0.05,0.5,0
8,8,0.0145,0.05,0.5,0
9,9,0.0189,0.05,0.5,0
10,10,0.0145,0.05,0.5,0
11,11,0.0138,0.05,0.5,0
12,12,0.0097,0.05,0.5,0
13,13,0.0067,0.05,0.5,0
14,14,0.0054,0.05,0.5,0
15,15,0.0111,0.05,0.5,0
16,16,0.0155,0.05,0.5,0
17,17,0.0074,0.05,0.5,0
18,18,0.0121,0.05,0.5,0
19,19,0.0047,0.05,0.5,0
20,20,0.0076,0.05,0.5,0
21,21,0.006,0.05,0.5,0
22,22,0.0161,0.05,0.5,0
23,23,0.0063,0.05,0.5,0
24,24,0.0098,0.05,0.5,0
