index, subj,d,s,theta,eta
0,0,0.0097,0.05,0.5,0
1,1,0.0091,0.05,0.5,0
2,2,0.0049,0.05,0.5,0
3,3,0.0081,0.05,0.5,0
4,4,0.0086,0.05,0.5,0
5,5,0.0081,0.05,0.5,0
6,6,0.0034,0.05,0.5,0
7,7,0.0052,0.05,0.5,0
8,8,0.0093,0.05,0.5,0
9,9,0.0097,0.05,0.5,0
10,10,0.0111,0.05,0.5,0
11,11,0.0085,0.05,0.5,0
12,12,0.0061,0.05,0.5,0
13,13,0.0048,0.05,0.5,0
14,14,0.0045,0.05,0.5,0
15,15,0.0098,0.05,0.5,0
16,16,0.0126,0.05,0.5,0
17,17,0.0038,0.05,0.5,0
18,18,0.0076,0.05,0.5,0
19,19,0.0001,0.05,0.5,0
20,20,0.0051,0.05,0.5,0
21,21,0.0034,0.05,0.5,0
22,22,0.0113,0.05,0.5,0
23,23,0.0049,0.05,0.5,0
24,24,0.0079,0.05,0.5,0
