index, subj,d,s,theta,eta
0,0,0.0058,0.05,0.5,0
1,1,0.0064,0.05,0.5,0
2,2,0.0032,0.05,0.5,0
3,3,0.0069,0.05,0.5,0
4,4,0.0047,0.05,0.5,0
5,5,0.0045,0.05,0.5,0
6,6,0.0022,0.05,0.5,0
7,7,0.0034,0.05,0.5,0
8,8,0.0064,0.05,0.5,0
9,9,0.0085,0.05,0.5,0
10,10,0.0063,0.05,0.5,0
11,11,0.0061,0.05,0.5,0
12,12,0.0043,0.05,0.5,0
13,13,0.003,0.05,0.5,0
14,14,0.0024,0.05,0.5,0
15,15,0.0049,0.05,0.5,0
16,16,0.0066,0.05,0.5,0
17,17,0.0034,0.05,0.5,0
18,18,0.0052,0.05,0.5,0
19,19,0.0021,0.05,0.5,0
20,20,0.0033,0.05,0.5,0
21,21,0.0026,0.05,0.5,0
22,22,0.0069,0.05,0.5,0
23,23,0.0028,0.05,0.5,0
24,24,0.0043,0.05,0.5,0
