d,sigma,theta,eta
0.013,0.05,0.5,0
0.0145,0.05,0.5,0
0.007,0.05,0.5,0
0.0155,0.05,0.5,0
0.0105,0.05,0.5,0
0.0105,0.05,0.5,0
0.005,0.05,0.5,0
0.0075,0.05,0.5,0
0.0145,0.05,0.5,0
0.019,0.05,0.5,0
0.0145,0.05,0.5,0
0.014,0.05,0.5,0
0.0095,0.05,0.5,0
0.0065,0.05,0.5,0
0.0055,0.05,0.5,0
0.011,0.05,0.5,0
0.0155,0.05,0.5,0
0.0075,0.05,0.5,0
0.012,0.05,0.5,0
0.0045,0.05,0.5,0
0.0075,0.05,0.5,0
0.006,0.05,0.5,0
0.016,0.05,0.5,0
0.0065,0.05,0.5,0
0.01,0.05,0.5,0
0.0095,0.05,0.5,0
0.009,0.05,0.5,0
0.005,0.05,0.5,0
0.008,0.05,0.5,0
0.0085,0.05,0.5,0
0.008,0.05,0.5,0
0.0035,0.05,0.5,0
0.005,0.05,0.5,0
0.0095,0.05,0.5,0
0.0095,0.05,0.5,0
0.011,0.05,0.5,0
0.0085,0.05,0.5,0
0.006,0.05,0.5,0
0.005,0.05,0.5,0
0.0045,0.05,0.5,0
0.01,0.05,0.5,0
0.0125,0.05,0.5,0
0.004,0.05,0.5,0
0.0075,0.05,0.5,0
0.001,0.05,0.5,0
0.005,0.05,0.5,0
0.0035,0.05,0.5,0
0.0115,0.05,0.5,0
0.005,0.05,0.5,0
0.008,0.05,0.5,0
